施設・事業名,緯度,経度
ポピンズナーサリースクール十日市場駅前,35.526791,139.51619
ポピンズナーサリースクール横浜十日市場,35.521709,139.514919
グローバルキッズ十日市場園,35.526468,139.514586
十日市場こども園,35.522207,139.511799
ヴィラ十日市場こども園,35.525079,139.516711
バオバブ霧が丘保育園,35.514374,139.505923
横浜市十日市場保育園,35.522207,139.511799
みどりひよこ園,35.524988,139.518947
ピノキオ保育園十日市場園,35.524649,139.513388
すまいる十日市場保育園,35.522207,139.511799
大澤保育室,35.506754,139.580209
認定こども園　横浜あすか幼稚園,35.51785,139.505843
認定こども園　横浜マドカ幼稚園,35.511013,139.499797
長津田こども園,35.529085,139.503339
パレット保育園・長津田,35.532224,139.493546
みなみ台保育園,35.521446,139.497725
みもざ保育園,35.520954,139.500884
もりの風保育園,35.517971,139.493367
もみの木保育園,35.531456,139.493912
明日葉保育園長津田園,35.531633,139.502607
太陽の子　長津田北保育園,35.534854,139.495111
キッズフォレ長津田,35.532032,139.4976
スターチャイルド≪長津田ナーサリー≫,35.530029,139.497544
スターチャイルド≪長津田駅前ナーサリー≫,35.530029,139.497544
認可保育所どうぞのひろば,35.535567,139.494303
シャルール保育園,35.534261,139.494711
横浜市長津田保育園,35.534222,139.496498
ゆめの実保育園,35.521484,139.497678
ハッピーシーズ保育園,35.529555,139.495099
ハッピーシーズりんご園,35.529555,139.495099
ハッピーシーズくるみ園,35.529555,139.495099
マームゆりかご　ながつた保育園,35.533057,139.499161
横浜市美しが丘保育園,35.578105,139.560835
たまプラーザもみじ保育園,35.575341,139.560413
アートチャイルドケアろりぽっぷたまプラーザ,35.581428,139.559973
青葉フレール保育園,35.574501,139.559183
ポピンズナーサリースクールたまプラーザ,35.574051,139.554128
パレット保育園・たまプラーザ,35.578015,139.558877
小学館アカデミーたまプラーザ保育園,35.580944,139.559563
ニチイキッズ美しが丘保育園,35.581281,139.548085
たまプラーザ　こどもの詩保育園,35.576629,139.55767
スターチャイルド≪たまプラーザナーサリー≫,35.575338,139.557848
美しが丘どろんこ保育園,35.583848,139.55352
グローバルキッズたまプラーザ保育園,35.580228,139.559463
木下の保育園　たまプラーザ,35.577403,139.562222
たまプラーザ小桜愛児園,35.575678,139.557988
グローバルキッズ美しが丘保育園,35.579962,139.557445
京進のほいくえんＨＯＰＰＡたまプラーザ,35.577008,139.560342
たまプラーザぽんた保育園,35.583818,139.553832
といろきっずたまプラーザ保育園,35.573912,139.554151
たまプラーザベビーリー乳幼児室,35.578274,139.556145
横浜市すすき野保育園,35.577516,139.541549
小桜愛児園,35.573388,139.549937
シャローム保育園,35.568326,139.541233
青葉保育園,35.577684,139.534264
エンゼルベアあざみ野保育園,35.568478,139.555561
グローバルキッズあざみ野園,35.56556,139.555424
アスクあざみ野保育園,35.567434,139.551664
天才キッズクラブ楽学館あざみ野園,35.572613,139.55155
ポピンズナーサリースクールあざみ野,35.567086,139.54625
認定こども園あざみ野白ゆり幼稚園,35.570066,139.535593
認定こども園大場白ゆり幼稚園,35.562042,139.534357
つどいの森もみの木こども園,35.531456,139.493912
といろきっず美しが丘保育園,35.572191,139.551842
保育所まぁむあざみ野園,35.567389,139.557755
あざみ野ひだまり保育園,35.568636,139.547717
スターチャイルド≪江田ナーサリー≫,35.561911,139.5504
にじいろ保育園江田,35.558655,139.552067
スターチャイルド≪荏田北ナーサリー≫,35.558235,139.5462
荏田北幼保連携型認定こども園,35.560479,139.54871
江田ひまわり保育園,35.552099,139.553398
ミアヘルサ保育園ひびき江田,35.557223,139.549569
横浜市荏田保育園,35.557047,139.541345
サンキッズ荏田西保育園,35.547679,139.548483
ベネッセ　市ヶ尾駅前保育園,35.551115,139.539981
市が尾こどものいえ保育園,35.540137,139.54699
ピッピ保育園,35.550169,139.547262
グローバルキッズ市が尾園,35.551359,139.541718
ピッピみんなの保育園,35.553779,139.544127
市ヶ尾保育園,35.543867,139.54413
りとる・ピッピ,35.551104,139.542862
大場りとる・ピッピ,35.561087,139.531164
ミアヘルサ保育園ひびき市が尾,35.552555,139.543004
りんどう保育園,35.555277,139.52086
ChaCha Children Kakinokidai,35.548927,139.527634
藤が丘もみじ保育センター,35.539151,139.526212
アスク藤が丘保育園,35.544056,139.526588
ちぐさのもり保育園,35.53718,139.530183
グローバルキッズ藤が丘一丁目園,35.54492,139.530175
スターチャイルド≪藤が丘ナーサリー≫,35.543141,139.528365
ぽれぽれ保育園藤が丘,35.54553,139.529223
認定こども園三陽幼稚園・三陽保育園,35.55972,139.517262
スターチャイルド≪藤が丘小規模保育所≫,35.543141,139.528365
しらとり台保育園,35.537115,139.513138
もみじ保育園,35.546163,139.508491
みどり乳児園,35.549727,139.51764
しらとり台保育園さつきが丘,35.533781,139.522108
いずみ青葉台保育園,35.544098,139.514551
横浜ナザレ保育園,35.539208,139.516638
オルタスそらいろ,35.541586,139.51789
プレスクールあおば,35.546905,139.518922
太陽の子　桜台保育園,35.550301,139.518571
しらとり台保育園つつじが丘,35.535678,139.517768
にじいろ保育園青葉台,35.546337,139.519051
ベネッセ　青葉台保育園,35.540629,139.515829
しらとり台保育園　青葉台,35.5425,139.522061
エンゼルベア青葉台保育園,35.542277,139.513564
太陽の子　桜台第二保育園,35.550157,139.516067
あっぷるキッズ青葉台,35.53956,139.513414
明日葉保育園青葉台園,35.545372,139.513124
幼保連携型認定こども園青葉台幼稚園,35.540709,139.51472
認定こども園ナザレ幼稚園,35.558461,139.500872
パレット家庭的保育室　なないろ,35.541723,139.512322
ベビーぽけっと松風台,35.544768,139.509757
京進のほいくえんＨＯＰＰＡ青葉台園,35.540424,139.520057
わいわいＫｉｄｓつつじが丘保育室,35.537323,139.51957
といろきっず青葉台保育園,35.542883,139.514177
青葉ぽかぽか保育室,35.532639,139.513971
横浜市奈良保育園,35.563949,139.481574
もみじ第二保育園,35.539636,139.49938
ＭＩＷＡあかね台光の子保育園,35.541785,139.483827
なかがわ家庭保育室,35.554658,139.580676
といろきっず田奈保育園,35.53822,139.502876
こどもの国ほしぞら保育園,35.56002,139.48122
中川小桜愛児園,35.563004,139.569635
中川こども園,35.563118,139.570574
エンジェルプラネット,35.561877,139.569291
横浜市中川西保育園,35.56403,139.565899
そのだ家庭保育室,35.565121,139.571709
中川保育園,35.552866,139.592756
つづき保育園,35.56017,139.581787
つづきルーテル保育園,35.557167,139.575616
マーマセンター北保育園,35.558021,139.57789
アスクセンター北保育園,35.550769,139.579013
わおわおセンター北保育園,35.55205,139.577049
ピッコリーノ保育園,35.551129,139.577861
パレット保育園・牛久保西,35.561562,139.579273
キッズフォレセンター北,35.554694,139.579574
保育園みんなのおうち,35.554658,139.580676
木下の保育園　センター南,35.548855,139.576521
パレット保育園・センター南,35.543592,139.572551
アスクセンター南保育園,35.546254,139.573566
ポピンズナーサリースクールセンター南,35.547103,139.572229
つくし保育園　センター南,35.546357,139.574773
エクレスすみれ保育園,35.538084,139.572089
さんさん森の保育園センター南,35.546942,139.575483
横浜茅ケ崎保育園,35.54072,139.579392
ＫＩＤＳＦＯＲＥ　ＡＣＡＤＥＭＹ,35.549075,139.57518
横浜市茅ケ崎南保育園,35.540499,139.570246
すまいるセンターみなみ保育園,35.541287,139.577623
ピノキオ幼児舎センター南園,35.544445,139.575188
第二しらとり台保育園,35.560793,139.588545
ナーサリーつづき,35.557401,139.588115
アスク北山田保育園,35.563242,139.585279
滝ヶ谷保育園,35.559755,139.595593
よこはま・もあな保育園,35.555306,139.580803
認定こども園やまゆりキッズ　横浜みずほ幼稚園,35.560016,139.587794
認定こども園　横浜黎明幼稚園,35.565341,139.59643
保育ルームキューティー北山田,35.561666,139.592299
保育ルームキューティーユー,35.56179,139.592269
やまた保育園,35.555328,139.603986
すくすく保育園,35.512007,139.537756
キッズフォレ東山田,35.553008,139.604593
勝田保育園,35.541195,139.592175
なかまちっこ園,35.534371,139.590922
なかまちっこ　じゃんぷ園,35.533556,139.589558
わおわお仲町台保育園,35.535072,139.587032
コビープリスクールなかまちだい,35.542421,139.591692
シープ保育所,35.53928,139.593437
横浜市大熊保育園,35.534968,139.594036
認定こども園エクレス,35.536839,139.590042
ゆうゆうのもり幼保園,35.544972,139.599113
キャリー保育園なかまちだい,35.535695,139.586809
エンジェルプラネット仲町台,35.534563,139.590253
仲町台もみのき保育室,35.536777,139.589487
よこはま夢保育園,35.537264,139.560213
グローバルキッズ都筑ふれあいの丘園,35.536942,139.557597
アソシエふれあいの丘保育園,35.535904,139.562588
横浜市みどり保育園,35.539735,139.559769
アリス保育園,35.538668,139.559859
さくら保育室,35.537865,139.559565
ベイキッズ　あおぞら保育園,35.540744,139.560681
川和保育園,35.522631,139.553929
都筑ひよこ保育園,35.523781,139.557839
スターチャイルド≪川和ナーサリー≫,35.527853,139.549123
池辺保育園,35.525031,139.573454
池辺おひさま保育園,35.523447,139.564838
ゆうぽーと保育園,35.518824,139.564992
鴨居北こども園,35.518129,139.571
クオリスキッズ鴨居駅前保育園,35.513314,139.569091
ブライト保育園横浜佐江戸,35.519341,139.560786
むらき家庭保育室,35.515235,139.650281
横浜市川上保育園,35.428744,139.556149
アートチャイルドケア東戸塚,35.433744,139.56226
明日葉保育園東戸塚園,35.424402,139.556167
岩崎学園東戸塚保育園,35.431052,139.560404
ヴィラ東戸塚こども園,35.426519,139.560288
うみのくに保育園とつか,35.427016,139.546418
キッズパートナー東戸塚,35.433253,139.556051
キッズパートナー東戸塚第２,35.433596,139.556108
銀杏保育園,35.422808,139.546149
こんにちは・ありがとうえん,35.438915,139.554212
ちゃいれっく東戸塚駅前保育園,35.426693,139.559997
ちゃいれっく前田町保育園,35.427188,139.551608
つくし保育園　東戸塚,35.433343,139.558982
名瀬いちい保育園,35.333987,139.61001
にじいろ保育園川上町,35.43152,139.555648
にじいろ保育園品濃町,35.427346,139.558693
にじいろ保育園東戸塚,35.430249,139.554413
ニチイキッズ東戸塚保育園,35.426925,139.560189
ハートの森保育園,35.436493,139.551878
東戸塚こども園,35.435332,139.560937
ベネッセ　東戸塚保育園,35.430794,139.563131
横浜東戸塚雲母保育園,35.424198,139.556445
あきば幼保連携型認定こども園,35.418316,139.541312
幼保連携型認定こども園　ＹＭＣＡ東とつか保育園,35.433616,139.553298
あきば第２保育園,35.418551,139.542146
アスノスひらと保育園東戸塚,35.429486,139.557695
ちゃいれっく平戸町保育室,35.42697,139.561322
東戸塚赤ちゃん保育園,35.43175,139.557525
東戸塚かもめ保育園,35.428245,139.55735
東戸塚かもめ第２保育園,35.427488,139.557816
東戸塚かもめ第３保育園,35.428113,139.557954
東戸塚かもめ第４保育園,35.428245,139.55735
東戸塚みもざ保育園,35.43122,139.559841
東戸塚らびっと保育園,35.427857,139.559522
東戸塚わかば保育園,35.432743,139.557471
くすのき保育園,35.423823,139.532896
くすのき第二保育園,35.422251,139.53339
レインボー保育園,35.416824,139.532299
幼稚園型認定こども園　しらかば幼稚園,35.409309,139.52853
アネラ保育室,35.420779,139.535349
小規模保育施設はまっこ,35.407765,139.520252
はまっこ乳児ルーム,35.409749,139.519949
風の子保育室,35.423765,139.529587
柏尾スマイル保育園,35.416141,139.547037
ことは保育園,35.417865,139.549757
舞岡保育園,35.389797,139.552653
メモリー保育園,35.406332,139.550009
わかば保育園,35.397901,139.54955
あーす保育園　横濱戸塚,35.402695,139.536901
あけぼの保育園,35.382033,139.54612
明日葉保育園第二戸塚園,35.40254,139.534802
明日葉保育園第三戸塚園,35.402491,139.534194
明日葉保育園戸塚西口園,35.39586,139.531341
アスク戸塚保育園,35.400685,139.528134
エミールの森ひばり保育園,35.402182,139.523179
銀杏保育園　胡桃館,35.402056,139.534522
グローバルキッズ戸塚園,35.401749,139.53295
グローバルキッズ戸塚第二保育園,35.402329,139.532927
グローバルキッズ戸塚吉田町保育園,35.400598,139.537677
スターチャイルド≪戸塚ナーサリー≫,35.405586,139.531985
ちゃいれっく戸塚保育園,35.402903,139.535467
つくし保育園　戸塚,35.399282,139.531572
戸塚愛児園,35.39582,139.532634
戸塚せせらぎ保育園,35.402637,139.535434
戸塚ほしの木保育園,35.402126,139.530367
戸塚みどり保育園,35.3959,139.530432
とつかルーテル保育園,35.400271,139.53816
にじいろ保育園戸塚,35.401665,139.531473
にじいろ保育園戸塚駅前,35.40131,139.53371
ののはな保育園,35.396549,139.524727
芙蓉保育園,35.394019,139.526562
南戸塚保育園,35.387981,139.526791
ララランド戸塚,35.401554,139.53142
ララランド戸塚第２,35.401257,139.530049
ララランド戸塚第３,35.40332,139.536926
ＹＭＣＡとつか乳児保育園,35.398928,139.538648
幼保連携型認定こども園　ひまわり幼稚園,35.405055,139.532363
幼保連携型認定こども園　ＹＭＣＡとつか保育園,35.397499,139.538863
あーす保育園戸塚,35.4048,139.536376
あーす保育園戸塚Ａｎｎｅｘ,35.403125,139.536775
あおぞらみらい保育園,35.39435,139.53602
おおぞらどんぐり保育室,35.38443,139.521622
おんぷ保育園,35.401106,139.528447
コアの木保育園,35.401462,139.534761
正光寺保育園吉田町園,35.399855,139.539555
しんざわあゆみ保育室,35.395763,139.528335
戸塚チューリップ保育園,35.396097,139.535278
ぱぷりか保育園　戸塚,35.39973,139.536078
ベイキッズひまわり保育園,35.410544,139.512645
みんなのほいくえんａｔとつか,35.399934,139.530686
横浜市汲沢保育園,35.398205,139.519407
おおぞらひまわり保育園,35.386763,139.515893
丘の上保育園,35.396227,139.521892
幼保連携型認定こども園　みどり幼稚園,35.400812,139.517171
横浜市原宿保育園,35.378179,139.500602
小雀みどり保育園,35.369347,139.517258
聖母の園保育園,35.374946,139.501986
俣野保育園,35.388739,139.489392
松みどり保育所,35.373162,139.504472
幼保連携型認定こども園　南幼稚園,35.382351,139.505255
横浜市飯島保育園,35.373676,139.535596
横浜市公田保育園,35.357924,139.557313
横浜市桂台保育園,35.353155,139.565275
かつら愛児園,35.361713,139.552495
大船ルーテル保育園,35.365014,139.541957
いいじまルーテル保育園,35.36791,139.530563
やまゆり保育園,35.371461,139.558411
エミールの森ひよこ保育園,35.379165,139.554807
かさまの杜保育園,35.361425,139.536582
ベネッセ　本郷台保育園,35.367068,139.548811
アスク大船保育園,35.359044,139.534622
杜ちゃいるど園,35.356171,139.532798
ふぁみりーさぽーと　のあ,35.347982,139.574618
すずかけ保育園,35.371072,139.546906
ニチイキッズさくら本郷台保育園,35.365981,139.551155
上郷いちい保育園,35.349042,139.576751
認定こども園　いのやま保育園,35.355598,139.575535
認定こども園　中野どんぐり保育園,35.368727,139.566863
認定こども園　飯島東保育園,35.370976,139.540623
チューリップ保育室,35.371458,139.552156
芸術の森保育園,35.359659,139.532743
ふれあいの家　にこにこ保育園,35.399696,139.569573
マームゆりかごおおふな保育園,35.356756,139.533121
すまいるおおふな保育園,35.35519,139.533218
なないろ保育室　,35.485652,139.64773
アップルミントおおふな保育園,35.359827,139.536973
トモキッズナーサリーかさま園,35.360127,139.54157
チームナーサリーBigHug本郷台,35.365282,139.555387
横浜市和泉保育園,35.428117,139.494894
ＧＥＮＫＩＤＳいずみ中央保育園,35.413435,139.486978
白梅いずみ保育園,35.414332,139.484698
にじいろ保育園いずみ中央,35.417182,139.48693
鳩の森愛の詩保育園,35.430622,139.508402
鳩の森愛の詩あすなろ保育園,35.430622,139.508402
横浜ルンビニー保育園,35.43584,139.513227
ＧＥＮＫＩＤＳ緑園都市保育園,35.439029,139.520692
小学館アカデミーりょくえんとし保育園,35.438438,139.520593
緑園なえば保育園,35.44013,139.526584
泉の郷保育園いずみ,35.415755,139.494119
エンゼルおおぞら保育園,35.415847,139.499447
立場エンゼル保育園,35.418619,139.500164
中田保育園,35.405963,139.503068
もも保育園,35.407698,139.504028
泉の郷保育園なかだ,35.410177,139.51218
御霊神社保育園,35.419435,139.510709
白梅保育園,35.403406,139.509787
白百合愛児園,35.412186,139.516067
領家キッズ保育園,35.421504,139.523129
ＹＭＣＡ山手台保育園アルク,35.418882,139.52352
くるみ保育園,35.397427,139.491384
苗場保育園,35.391035,139.492643
ふたば保育園,35.402939,139.491341
横浜市北上飯田保育園,35.430244,139.475795
いちょう保育園,35.433099,139.473976
横浜文化保育園,35.441751,139.483464
認定こども園　ＹＭＣＡいずみ,35.42382,139.478387
認定こども園  泉ヶ丘幼稚園,35.406334,139.494808
認定こども園  いづみ幼稚園,35.414769,139.489161
認定こども園　岡津幼稚園,35.432255,139.522151
なかよしこども園,35.396801,139.495943
ぬくもりの森しんばし　やよい台こども園,35.432917,139.511797
認定こども園　ふじづかようちえん・ふじづかほくえん,35.401476,139.482261
認定こども園　宮の台幼稚園,35.42198,139.510974
認定こども園　明成幼稚園,35.426195,139.476656
認定こども園　上飯田幼稚園,35.425978,139.483114
えんがわ,35.570069,139.506176
サクラフェリーチェ保育園,35.415438,139.500036
立場らびっと保育園,35.416582,139.499592
中田いちご保育園,35.404328,139.504323
中田駅前　はまっこ保育園,35.410581,139.511319
中田ひまわり保育室,35.414866,139.511818
鳩の森愛の詩とことこ保育園,35.415839,139.487113
ベイキッズおひさま保育園,35.410544,139.512645
マーヤ保育園,35.42888,139.505488
グロウアップ  モンテッソーリ子どもの家　立場園,35.413526,139.503654
横浜市瀬谷第二保育園,35.46689,139.486782
横浜市中屋敷保育園,35.485113,139.474583
横浜市二ツ橋保育園,35.474297,139.498482
阿久和保育園,35.453175,139.50096
鳩の森愛の詩瀬谷保育園,35.46548,139.49851
瀬谷愛児園,35.475859,139.489383
瀬谷中央保育園,35.465901,139.485794
ＧＥＮＫＩＤＳ瀬谷保育園,35.470713,139.484344
シャローム三育保育園,35.47237,139.496534
ゆたか保育園,35.469983,139.4908
グローバルキッズ三ツ境園,35.466748,139.495663
鳩の森愛の詩　宮沢保育園,35.455586,139.490424
ティンクル瀬谷保育園,35.468633,139.481272
Gakkenほいくえん二ツ橋,35.468794,139.496071
ほうゆう保育園,35.450443,139.508148
下瀬谷保育園,35.459143,139.473939
ネスト瀬谷,35.467182,139.502692
わらべ細谷戸保育園,35.483442,139.486728
保育室「ネスト」,35.467182,139.502692
認定こども園　あづまの幼稚園・あづまのナーサリー・youyouキッズ,35.478085,139.500251
認定こども園はらのこ　原幼稚園,35.449131,139.497538
認定こども園二ツ橋あいりん幼稚園,35.464024,139.494025
幼保連携型認定こども園　みなみ幼稚園,35.437711,139.50026
阿久和キッズ,35.454022,139.502167
てぃんく２＠ねすと,35.470056,139.484496
stellar education garden阿久和小規模保育園,35.45103,139.502691
はぐ＠ねすと,35.468589,139.501223
ネストぽぽ,35.466859,139.485754
ネストうーたん,35.467593,139.485615
瀬谷そらいろ保育園,35.469995,139.484334
瀬谷みらい保育園,35.465144,139.479793
NPO法人ちびっこハウス,35.465716,139.502906
瀬谷すくすく保育園,35.512007,139.537756
新美保育室（にいみ＊るーむ）,35.458638,139.474787
